Year	Rating	Conference	Title	Author Names
2003	8.5	Drama	Al Hajjaj	"Fahd, Abed (I);Kazaq, Fayz;Massoud, Ghassan"
1970	8.5	Drama	Al filo de lo imposible	"Acebal, Antonio;Alberdi, Manuel;Andr•À_s, Valeriano;B•À_dalo, Jos•À_;Caffarel, Jos•À_ Mar•À_a;Calvo, Jos•À_ (II);de Pa•À_l, Ignacio;del Real, Alfonso;Ferrandis, Antonio;Garc•À_a, Iago;Gonz•À_lez, Agust•À_n (I);Haro, Vicente;Mart•À_n, Jacinto;Men•À_ndez, Juanjo;Molina, Joaqu•À_n (I);Morris, Luis;Orjas, Jos•À_;Tornos, Valent•À_n"
2000	8.8	Drama	Al-Zeer Salem	"Haddad, Salloum;Taja, Khaled"
2005	8.1	Comedy	Alaminut	"Bontchev, Atanas;Cofaliev, Robin (I);Gospodinov, Yordan;Manchev, Dimitar"
2011	8.4	Comedy	Albernameg	"Elissa (III);Waked, Amr;Yassin, Asser;Youssef, Bassem"
2014	8.5	Action	Aldnoah.Zero	"Aguilar, Zach;Chalmers, Geoffrey;Diskin, Ben;Dodge, Lucien;Haberkorn, Todd;Lang, Lex;Lee, Alan (XXVIII);McCarley, Kyle;Mercer, Matthew (I);Mittelman, Max;Papenbrook, Bryce;Seitz, Patrick (I);Thong, Bobby;Thornton, Kirk;Weisz, Ezra (III)"
1994	8.1	Drama	Alejandra	"Campos, Marcos (VI);Gadea P•À_rez, Eduardo;Jimenez, Dassler;Loreto, F•À_lix;Mago, Oswaldo;Romero, Rafael (III);Schubert, Jorge;Xiqu•À_s, Ra•À_l"
1990	8.1	Comedy	Alfonso Bonzo	"Butcher, Raymond;Foster, Dwaine;Fraser, Andrew (II);Hall, Brian (I);Harris, Fred (III);Hawley, Graeme;Jennings, Alex (I);Lee, Glenn (III);McNicholl, Rory;Pringle, Bryan;Riley, Scott (III);Walling, Mike (I);Williams, Damian (III)"
2007	8.3	Comedy	Alguien te mira	"Arredondo, Claudio;Baldassare, Javier;Goya, Sebastian;Gurruchaga, Juan Jos•À_;Melo, Francisco (I);P•À_rez-Bannen, Francisco;Reyes, Andr•À_s (II);Rudolphy, •À_lvaro;Salgado, Max;Striano, Pablo;Tupper, Santiago;Velasco, Andr•À_s (IV);V•À_squez, Hugo (III)"
1997	8.4	Drama	Alguna vez tendremos alas	"Adame, Alfredo;Bonfiglio, •À_scar;Buenfil, Ra•À_l;Casasola, Francisco;Couturier, Luis;Estrada, Jos•À_ Antonio;Estrella, Alberto;Jim•À_nez, Said Manuel;Mart•À_nez, Justo (I);Miguel, Antonio (I);Murgu•À_a, Roberto;M•À_ndez, Antonio (III);Nava, Walter Jay;N•À_•À_ez, Joel;Orci, Ramiro;Ostrosky, David;Paulet, Arturo;Prudomme, Mario;Rencoret, David (I);Santana, Miguel (I);Segura, Miguel Angel;Strickler, Ren•À_ (II);Su•À_rez, Mois•À_s;Vivar, Edgar;Zurita, Humberto (I)"
2004	8.5	Comedy	Algunes imatges m•À_s	"Correal, V•À_ctor;Cuatrecases, Adri•À_;Faura, Oriol (I);Rosquellas, Ivan;Vall•À_s, Sergi;Verdaguer, David;Vives, Sergi (I)"
1991	8.4	Comedy	Alhola	"Hanikka, Henry;Karkj•À_rvi, Lasse;Mylly, Veikko;Niemi, Raimo O.;Peltola, Markku;Raatikainen, Hannu (I);Rajanti, Petteri;Saarinen, Eero;Sillanp•À_•À_, Seppo (I);Varonen, Esko"
2008	8.8	Drama	Alice	"Cazarr•À_, Juliano;Descartes, Marat (I);Gudiel, Daneri;Ketnath, Peter;Massuia, Felipe;Moscovis, Eduardo;Zinn, Vinicius"
2010	9.6	Comedy	Aliens Inside	"Bartocci, Giacomo R.;Belletti, Lorenzo;D'Aponte, Riccardo;Esteve C•À_rdoba, Laia;Giordano, Gennaro;Lo Coco, Andrea;Lupo, Serena;Sciarretta, Daniele;Tamburini, Riccardo;Todria, George (I);Visotto, Nicola;Volpe, Giorgio"
